_key_error_vector,_normalize_class_distribution,_number_replacement,_pos_tagging,_punctuation_position,_test_files,_train_files,_use_question_mark,_vector_file,_window_size,accuracy_0,loss_1,precision_per_class_2,precision_per_class_3,precision_per_class_4,recall_per_class_5,recall_per_class_6,recall_per_class_7
this,false,true,false,4,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,8,0.895583,0.446206,0.934525,0.401835,0.572597,0.979358,0.277215,0.375335
this,false,true,true,6,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.891833,0.299354,0.92381,0.429565,0.586441,0.982513,0.314249,0.230975
this,false,true,false,2,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,5,0.89375,0.418575,0.951684,0.394649,0.501863,0.963688,0.298734,0.542282
this,true,true,false,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.594917,1.34918,0.965757,0.128053,0.149082,0.612339,0.492386,0.46103
this,false,true,false,2,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,8,0.886417,0.424107,0.948476,0.342217,0.569892,0.96044,0.406329,0.355705
this,false,true,true,8,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,8,0.858417,0.657423,0.893657,0.268493,0.307229,0.966048,0.124682,0.134565
this,false,true,true,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,8,0.87075,0.648589,0.909791,0.292469,0.454902,0.971243,0.21166,0.155914
this,false,true,true,4,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,8,0.901667,0.38799,0.947628,0.424125,0.638831,0.973528,0.413924,0.410188
this,true,true,false,3,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.673583,1.03741,0.980091,0.170592,0.180839,0.696492,0.605063,0.425901
this,false,true,false,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,1,0.871333,0.403456,0.871436,0.666667,-1,0.999809,0.00506329,0
this,false,true,false,8,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,8,0.856917,0.696563,0.886219,0.241935,0.265372,0.969874,0.0763359,0.108179
this,false,true,true,3,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.89175,0.317331,0.911643,0.513433,0.562914,0.99025,0.217722,0.226969
this,true,true,false,4,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.608667,1.34527,0.982432,0.153578,0.14828,0.620172,0.613924,0.442667
this,true,true,false,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.629833,0.821965,0.952139,0.121568,0.156766,0.663386,0.537975,0.255376
this,true,true,false,4,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.66725,1.06467,0.981233,0.162367,0.219929,0.684537,0.677215,0.414209
this,false,true,true,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,1,0.874583,0.425051,0.878722,0.398058,0.857143,0.998662,0.0518987,0.00802139
this,false,true,true,3,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,5,0.894083,0.404466,0.952826,0.376344,0.59448,0.965395,0.443038,0.373832
this,false,true,false,4,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.884417,0.36275,0.898238,0.490119,0.532164,0.994073,0.156962,0.121333
this,true,true,false,2,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.686167,0.964448,0.977684,0.169498,0.219238,0.707501,0.606329,0.471141
this,true,true,true,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.753833,0.725354,0.987477,0.204642,0.284685,0.78366,0.66962,0.424161
this,true,true,false,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.728667,0.761067,0.986378,0.18763,0.277679,0.754228,0.683544,0.41745
this,false,true,false,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,5,0.897083,0.453369,0.934707,0.403087,0.620843,0.979455,0.297468,0.375839
this,true,true,true,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.629167,0.817268,0.95809,0.128657,0.162125,0.657462,0.54557,0.319892
this,true,true,true,4,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.626167,1.31112,0.985845,0.16188,0.154132,0.639197,0.627848,0.442667
this,false,true,true,4,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.891417,0.293004,0.929095,0.40832,0.558442,0.980505,0.335443,0.230563
this,false,true,false,2,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.88825,0.316287,0.919279,0.417886,0.575269,0.983755,0.325316,0.143624
this,false,true,false,8,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.871417,0.396005,0.873066,0.390244,-1,0.998565,0.0203562,0
this,false,true,false,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.8745,0.402054,0.885238,0.38914,0.30303,0.993408,0.108999,0.0134409
this,false,true,true,2,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,8,0.89875,0.3909,0.944681,0.403101,0.627404,0.975824,0.394937,0.350336
this,true,true,true,2,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.679,1.01474,0.984809,0.170732,0.220183,0.693837,0.575949,0.579866
this,false,true,true,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,5,0.87,0.61103,0.912157,0.288566,0.462604,0.966367,0.201266,0.224462
this,false,true,true,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,1,0.859333,0.407205,0.883123,0.27,0.240506,0.975033,0.102532,0.0502645
this,false,true,false,4,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,5,0.88425,0.477358,0.932584,0.370899,0.510204,0.968069,0.329114,0.3
this,false,true,false,3,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.888583,0.335963,0.906863,0.506211,0.551181,0.990345,0.206329,0.186916
this,false,true,true,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.875083,0.370362,0.899729,0.341317,0.396313,0.984235,0.144304,0.115591
this,false,true,false,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,5,0.849583,0.679771,0.895529,0.226766,0.259136,0.956002,0.154822,0.103038
this,true,true,false,6,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.661333,1.11992,0.980433,0.164894,0.183325,0.679885,0.552163,0.516689
this,true,true,true,3,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.703083,1.01163,0.983314,0.183943,0.214728,0.726699,0.617721,0.463284
this,false,true,true,4,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.888,0.342598,0.907174,0.466667,0.554167,0.9913,0.194937,0.177333
this,false,true,false,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.8715,0.403299,0.871748,0.5,-1,0.999904,0.00507614,0
this,false,true,true,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.8715,0.391511,0.871737,0.555556,-1,0.999809,0.00634518,0
this,false,true,false,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,1,0.873833,0.428345,0.876562,0.44,-1,0.99914,0.0417722,0
this,false,true,false,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,5,0.868917,0.63557,0.914828,0.280702,0.421846,0.962641,0.162025,0.301075
this,false,true,false,2,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.88825,0.327999,0.909027,0.465426,0.542222,0.990158,0.221519,0.163758
this,false,true,false,6,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.8885,0.32436,0.912333,0.435518,0.61,0.987482,0.262087,0.162884
this,false,true,false,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,8,0.877583,0.710403,0.899397,0.322344,0.521739,0.98395,0.111534,0.193548
this,false,true,true,8,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.872083,0.382337,0.873536,0.477273,-1,0.998852,0.0267176,0
this,false,true,false,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,1,0.86225,0.416175,0.880811,0.282787,0.235294,0.980486,0.0873418,0.037037
this,false,true,true,4,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,5,0.886833,0.460433,0.936639,0.372414,0.530172,0.968069,0.341772,0.328
this,false,true,true,2,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.890833,0.294108,0.929017,0.393586,0.572549,0.981749,0.341772,0.195973
this,false,true,false,3,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,5,0.891667,0.421738,0.9484,0.365566,0.56998,0.966351,0.392405,0.375167
this,false,true,false,6,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,8,0.896,0.426578,0.933497,0.409091,0.599034,0.980506,0.30916,0.331108
this,false,true,true,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.8735,0.394947,0.89424,0.333333,0.384,0.986338,0.139417,0.0645161
this,false,true,true,2,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.891417,0.307543,0.914308,0.49005,0.555172,0.98796,0.249367,0.216107
this,false,true,true,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.889167,0.314043,0.907936,0.475155,0.580153,0.990444,0.193671,0.204027
this,true,true,true,4,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.656,1.1791,0.984234,0.166186,0.20361,0.668196,0.656962,0.483914
this,false,true,false,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.874667,0.3787,0.893854,0.339223,0.398649,0.988057,0.121519,0.0793011
this,false,true,true,6,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,8,0.898667,0.423675,0.941014,0.413408,0.628297,0.977162,0.37659,0.3498
this,true,true,false,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.618917,0.863788,0.949275,0.118774,0.135758,0.650807,0.353612,0.451613
this,false,true,true,2,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,5,0.897,0.423071,0.949336,0.389549,0.608696,0.970473,0.41519,0.375839
this,false,true,true,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,5,0.85425,0.652655,0.897129,0.25498,0.294671,0.959254,0.162437,0.124174
this,true,true,false,2,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.665167,1.046,0.982874,0.158267,0.207187,0.685523,0.679747,0.363758
this,true,true,true,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.551833,1.57531,0.968083,0.124793,0.133333,0.559923,0.477157,0.517834
this,false,true,true,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,5,0.897917,0.412015,0.948297,0.396936,0.580247,0.970951,0.360759,0.441611
this,false,true,false,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.895333,0.282881,0.925395,0.447257,0.566845,0.986144,0.268354,0.284564
this,false,true,false,4,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.890667,0.310994,0.920754,0.432479,0.581081,0.984901,0.320253,0.172922
this,false,true,false,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,1,0.877583,0.374184,0.883887,0.486486,0.612069,0.994647,0.0683544,0.0949198
this,false,true,true,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,1,0.877,0.371493,0.88533,0.449704,0.602151,0.993309,0.0962025,0.0748663
this,false,true,true,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,1,0.871333,0.397412,0.871436,0.666667,-1,0.999809,0.00506329,0
this,true,true,true,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.622583,0.850315,0.954769,0.130352,0.14702,0.649374,0.432193,0.447581
this,true,true,true,2,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.684333,1.04733,0.986037,0.182035,0.206448,0.701768,0.677215,0.44698
